cell,u,radius,r_psi4
convA_pm_sep16_n256,35.0,16.0,2.410309e-02
convA_pm_sep16_n256,40.0,8.0,1.162411e-01
convA_pm_sep16_n256,40.0,16.0,3.590520e-02
convA_pp_n128,5.0,8.0,9.311394e-04
convA_pp_n128,5.0,16.0,1.060290e-03
convA_pp_n128,10.0,8.0,1.068371e-02
convA_pp_n128,10.0,16.0,2.552451e-02
convA_pp_n128,15.0,8.0,8.523555e-03
convA_pp_n128,15.0,16.0,4.528475e-03
convA_pp_n128,20.0,8.0,1.219352e-02
convA_pp_n128,20.0,16.0,2.386090e-03
convA_pp_n128,25.0,8.0,3.127280e-03
convA_pp_n128,25.0,16.0,8.101226e-03
convA_pp_n128,30.0,8.0,3.135196e-03
convA_pp_n128,30.0,16.0,2.259302e-02
convA_pp_n128,35.0,8.0,4.931922e-03
convA_pp_n128,35.0,16.0,1.392924e-02
convA_pp_n128,40.0,8.0,1.806931e-02
convA_pp_n128,40.0,16.0,5.890831e-03
convA_pp_n192,5.0,8.0,7.173641e-04
convA_pp_n192,5.0,16.0,1.581939e-03
convA_pp_n192,10.0,8.0,8.156619e-03
convA_pp_n192,10.0,16.0,2.043117e-02
convA_pp_n192,15.0,8.0,1.003757e-02
convA_pp_n192,15.0,16.0,6.603386e-03
convA_pp_n192,20.0,8.0,1.784822e-02
convA_pp_n192,20.0,16.0,9.559349e-03
convA_pp_n192,25.0,8.0,4.638509e-03
convA_pp_n192,25.0,16.0,1.337222e-03
convA_pp_n192,30.0,8.0,3.239623e-03
convA_pp_n192,30.0,16.0,2.523130e-02
convA_pp_n192,35.0,8.0,6.191945e-03
convA_pp_n192,35.0,16.0,1.927090e-02
convA_pp_n192,40.0,8.0,2.060450e-02
convA_pp_n192,40.0,16.0,7.977029e-03
convA_pp_n256,5.0,8.0,2.244234e-03
convA_pp_n256,5.0,16.0,2.108466e-03
convA_pp_n256,10.0,8.0,6.043156e-03
convA_pp_n256,10.0,16.0,2.434481e-02
convA_pp_n256,15.0,8.0,5.584164e-03
convA_pp_n256,15.0,16.0,6.679604e-03
convA_pp_n256,20.0,8.0,1.518076e-02
convA_pp_n256,20.0,16.0,1.583331e-02
convA_pp_n256,25.0,8.0,3.414863e-03
convA_pp_n256,25.0,16.0,9.522772e-03
convA_pp_n256,30.0,8.0,8.599779e-03
convA_pp_n256,30.0,16.0,2.841713e-02
convA_pp_n256,35.0,8.0,5.288879e-03
convA_pp_n256,35.0,16.0,1.596069e-02
convA_pp_n256,40.0,8.0,1.796405e-02
convA_pp_n256,40.0,16.0,1.181834e-02
next_lever_omega0615,5.0,8.0,5.182487e-03
next_lever_omega0615,5.0,16.0,2.887268e-03
next_lever_omega0615,10.0,8.0,9.262790e-03
next_lever_omega0615,10.0,16.0,4.818748e-03
next_lever_omega0615,15.0,8.0,1.577026e-02
next_lever_omega0615,15.0,16.0,7.727413e-03
next_lever_omega0615,20.0,8.0,2.573355e-02
next_lever_omega0615,20.0,16.0,1.140244e-02
next_lever_omega0615,25.0,8.0,4.062722e-02
next_lever_omega0615,25.0,16.0,1.609005e-02
next_lever_omega0615,30.0,8.0,6.206553e-02
next_lever_omega0615,30.0,16.0,2.175688e-02
next_lever_omega0615,35.0,8.0,9.162629e-02
next_lever_omega0615,35.0,16.0,2.795457e-02
next_lever_omega0615,40.0,8.0,1.309790e-01
next_lever_omega0615,40.0,16.0,3.389293e-02
next_spongeA_boxC,5.0,16.0,3.657226e-03
next_spongeA_boxC,5.0,24.0,4.606796e-03
next_spongeA_boxC,5.0,32.0,5.494580e-03
next_spongeA_boxC,5.0,40.0,6.414596e-03
next_spongeA_boxC,10.0,16.0,6.373964e-03
next_spongeA_boxC,10.0,24.0,7.144932e-03
next_spongeA_boxC,10.0,32.0,7.988198e-03
next_spongeA_boxC,10.0,40.0,8.948161e-03
next_spongeA_boxC,15.0,16.0,1.035850e-02
next_spongeA_boxC,15.0,24.0,1.053574e-02
next_spongeA_boxC,15.0,32.0,1.115020e-02
next_spongeA_boxC,15.0,40.0,1.205616e-02
next_spongeA_boxC,20.0,16.0,1.532363e-02
next_spongeA_boxC,20.0,24.0,1.404178e-02
next_spongeA_boxC,20.0,32.0,1.391541e-02
next_spongeA_boxC,20.0,40.0,1.437437e-02
next_spongeA_boxC,25.0,16.0,2.159914e-02
next_spongeA_boxC,25.0,24.0,1.783683e-02
next_spongeA_boxC,25.0,32.0,1.649180e-02
next_spongeA_boxC,25.0,40.0,1.618535e-02
next_spongeA_boxC,30.0,16.0,2.896023e-02
next_spongeA_boxC,30.0,24.0,2.124969e-02
next_spongeA_boxC,30.0,32.0,1.802309e-02
next_spongeA_boxC,30.0,40.0,1.647415e-02
next_spongeA_boxC,35.0,16.0,3.729424e-02
next_spongeA_boxC,35.0,24.0,2.378677e-02
next_spongeA_boxC,35.0,32.0,1.797424e-02
next_spongeA_boxC,35.0,40.0,1.469375e-02
next_spongeA_boxC,40.0,16.0,4.630487e-02
next_spongeA_boxC,40.0,24.0,2.470155e-02
next_spongeA_boxC,40.0,32.0,1.560742e-02
next_spongeA_boxC,40.0,40.0,1.013858e-02
next_spongeA_boxC,45.0,16.0,5.680813e-02
next_spongeA_boxC,45.0,24.0,2.484549e-02
next_spongeA_boxC,45.0,32.0,1.236606e-02
next_spongeA_boxC,45.0,40.0,4.811245e-03
next_spongeB_sep16_long,5.0,16.0,7.735781e-04
next_spongeB_sep16_long,5.0,24.0,1.846109e-03
next_spongeB_sep16_long,5.0,32.0,2.283241e-03
next_spongeB_sep16_long,5.0,40.0,2.700892e-03
next_spongeB_sep16_long,10.0,16.0,1.668646e-03
next_spongeB_sep16_long,10.0,24.0,2.519557e-03
next_spongeB_sep16_long,10.0,32.0,2.840149e-03
next_spongeB_sep16_long,10.0,40.0,3.161581e-03
next_spongeB_sep16_long,15.0,16.0,3.444845e-03
next_spongeB_sep16_long,15.0,24.0,4.087219e-03
next_spongeB_sep16_long,15.0,32.0,4.444939e-03
next_spongeB_sep16_long,15.0,40.0,4.848586e-03
next_spongeB_sep16_long,20.0,16.0,6.235125e-03
next_spongeB_sep16_long,20.0,24.0,6.443753e-03
next_spongeB_sep16_long,20.0,32.0,6.825176e-03
next_spongeB_sep16_long,20.0,40.0,7.323412e-03
next_spongeB_sep16_long,25.0,16.0,1.032089e-02
next_spongeB_sep16_long,25.0,24.0,9.509615e-03
next_spongeB_sep16_long,25.0,32.0,9.758942e-03
next_spongeB_sep16_long,25.0,40.0,1.024065e-02
next_spongeB_sep16_long,30.0,16.0,1.608794e-02
next_spongeB_sep16_long,30.0,24.0,1.304058e-02
next_spongeB_sep16_long,30.0,32.0,1.282818e-02
next_spongeB_sep16_long,30.0,40.0,1.303937e-02
next_spongeB_sep16_long,35.0,16.0,2.446011e-02
next_spongeB_sep16_long,35.0,24.0,1.711737e-02
next_spongeB_sep16_long,35.0,32.0,1.605502e-02
next_spongeB_sep16_long,35.0,40.0,1.572382e-02
next_spongeB_sep16_long,40.0,16.0,3.646382e-02
next_spongeB_sep16_long,40.0,24.0,2.138971e-02
next_spongeB_sep16_long,40.0,32.0,1.887776e-02
